FID,GEONAME,GENERIC,X,Y
4591,Little Bow Provincial Park,Provincial Park,-112.9297222,50.2302778
4592,Little Bow River,River,-112.4752778,49.8880556
4593,Little Brule Creek,Creek,-115.5083333,53.6274999999999
4594,Little Buffalo,Hamlet,-116.1075,56.4375
4595,Little Buffalo Lake,Lake,-116.1344444,56.4488889
4596,Little Buffalo River,River,-120,58.2708333
4597,Little Buffalo River,River,-112.8705556,60
4598,Little Cadotte River,River,-117.107777799999,56.68
4599,Little Cascade Rapids,Rapids,-111.7811111,56.5955555999999
4600,Little Cataract Mountain,Mountain,-116.111944399999,51.6691666999999
4601,Little Clear River,River,-119.548888899999,56.4827778
4602,Little Dogpound Creek,Creek,-114.506666699999,51.4241666
4603,Little Driftpile River,River,-115.849166699999,55.2213889
4604,Little Egg Creek,Creek,-113.51667,53.733333
4605,Little Elbow River,River,-114.8461111,50.795
4606,Little Elk Buttes,Buttes,-110.974444399999,52.7211111
4607,Little Fish Lake,Lake,-111.5944444,55.4616667
4608,Little Fish Lake,Lake,-112.2336111,51.3772221999999
4609,Little Fish Lake Provincial Park,Provincial Park,-112.1991667,51.3727778
4610,Little Fishery,Locality,-113.555277799999,58.7055555
4611,Little Fishery River,River,-111.4397222,56.7133333
4612,Little Flag Lake,Lake,-111.587222199999,52.5372222
4613,Little Fox Hill,Hill,-112.518888899999,50.7224999999999
4614,Little Garner Lake,Lake,-111.7088889,54.2255556
4615,Little Gem,Locality,-110.978611099999,51.7394444999999
4616,Little Goose Lake,Lake,-117.616669999999,54.9736109999999
4617,Little Grayling Creek,Creek,-119.629166699999,54.6191667
4618,Little Hay Lake,Lake,-113.033333299999,53.1986111
4619,Little Hay River,River,-119.4572222,58.7502777999999
4620,Little Highwood Pass,Pass,-115.021944399999,50.5977778
4621,Little Horse Creek,Creek,-111.575277999999,56.5769439999999
4622,Little Horse Creek,Creek,-115.7805556,55.8788887999999
4623,Little Horse Lake,Lake,-115.75,55.85
4624,Little Island Lake,Lake,-113.917777799999,57.2594445
4625,Little Island Lake,Lake,-114.7166667,53.7333333999999
4626,Little Johnson Lake,Lake,-112.555277799999,54.6402776999999
4627,Little Jumpingpound Creek,Creek,-114.5558333,51.0669443999999
4628,Little Lake,Lake,-119.0833333,55.2002778
4629,Little MacKenzie Creek,Creek,-117.1683333,53.0319444
4630,Little McLeod Lake,Lake,-115.6313889,54.3136111
4631,Little Mountain,Hill,-116.433329999999,55.2666669999999
4632,Little Muddy Creek,Creek,-119.5316667,54.7305555
4633,Little Muskeg Lake,Lake,-112.078333299999,55.1749999999999
4634,Little Musreau Lake,Lake,-118.667777799999,54.5474999999999
4635,Little Paddle River,River,-114.943611099999,53.9472221999999
4636,Little Pine Creek,Creek,-113.2558333,54.6202777999999
4637,Little Pipestone Creek,Creek,-116.1488889,51.5661111
4638,Little Poplar Island,Island,-110.626388899999,58.6516667
4639,Little Prairie Creek,Creek,-116.3405556,55.0719444
4640,Little Puskwaskau Lake,Lake,-117.278888899999,55.1402778
4641,Little Puskwaskau River,River,-118.018888899999,55.4408333
4642,Little Rapids,Rapids,-111.1833333,58.92
4643,Little Rapids Creek,Creek,-117.219999999999,59.4311111
4644,Little Rat Lake,Lake,-116.488333299999,54.9605555999999
4645,Little Red Deer River,River,-114.135277799999,52.0647223
4646,Little Red River,Locality,-114.778888899999,58.4077777999999
4647,Little Redrock Creek,Creek,-119.1861111,54.3072221999999
4648,Little Rock Island Lake,Lake,-110.244166699999,54.0547222
4649,Little Rocky Point,Point,-110.45,56.5605556
4650,Little Rolling Hills,Hills,-111.875833299999,50.2936111
4651,Little Sandhill Creek,Creek,-111.515555599999,50.7647223
4652,Little Shovel Pass,Pass,-117.7583333,52.7363889
4653,Little Smoky,Trail,-118.628333299999,53.9152775
4654,Little Smoky,Hamlet,-117.1797222,54.7388888999999
4655,Little Smoky,Locality,-116.8730556,55.4322222999999
4656,Little Smoky River,River,-117.6272222,55.6736111
4657,Little Snowbowl,Basin,-117.77222,52.736111
4658,Little Snuff Lake,Lake,-110.29222,57.3963889999999
4659,Little Strawberry Creek,Creek,-114.346944399999,53.2191666
4660,Little Sundance Creek,Creek,-116.5930556,53.5569443999999
4661,Little Sundance Lake,Lake,-117.012777799999,53.7377778
4662,Little Tawayik Lake,Lake,-112.8863889,53.5769444
4663,Little Volga Creek,Creek,-114.657777699999,53.5375
4664,Littlehorn Creek,Creek,-116.478611099999,52.3849999999999
4665,Livingstone Creek,Creek,-114.641388899999,51.0819443999999
4666,Livingstone Falls,Falls,-114.443611099999,50.1024999999999
4667,Livingstone Range,Range,-114.335306,49.9429439999999
4668,Livingstone Ridge,Ridge,-114.6833333,51.1058334
4669,Livingstone River,River,-114.392499999999,49.9411111
4670,Livock River,River,-112.7180556,56.4366667
4671,Liza Lake,Lake,-110.801944399999,54.2819444
4672,Li̩ge River,River,-113.81667,56.833333
4673,Llama Creek,Creek,-119.520555599999,53.8011111
4674,Llama Flats,Flats,-119.489444399999,53.8230556
4675,Llama Mountain,Mountain,-119.476944399999,53.8074999999999
4676,Lloyd Creek,Creek,-114.2458333,52.7308334
4677,Lloyd Lake,Lake,-114.160555599999,50.8711111
4678,Lloydminster,City,-110,53.2838889
4679,Lloyds Hill,Locality,-110.785555599999,52.1905556
4680,Llysfran Peak,Peak,-117.4836111,52.5811111
4681,Loaf Mountain,Mountain,-114.1038889,49.2169444
4682,Lobe Lake,Lake,-110.373888899999,57.4122222
4683,Loblaw Creek,Creek,-114.8533333,51.4119444
4684,Lobstick,Locality,-115.1633333,53.6047221999999
4685,Lobstick Creek,Creek,-114.5677778,52.3638888999999
4686,Lobstick Creek,Creek,-110.741669999999,56.7124999999999
4687,Lobstick Island,Island,-111.1355556,58.7016666999999
4688,Lobstick River,River,-114.99975,53.6094999999999
4689,Lobstick Settlement,Settlement,-112.6038889,54.0183333
4690,Lochearn,Locality,-114.976666699999,52.3672222
4691,Lochend Lake,Lake,-114.3183333,51.3347222
4692,Lochinvar,Locality,-113.666666699999,52.5333333
4693,Lockhart,Former Locality,-114.265555599999,52.5305556
4694,Loder Peak,Peak,-115.1416667,51.0925
4695,Lodge,Railway Point,-114.8844444,52.3713888999999
4696,Lodge Creek,Creek,-110.0047222,49.2294443999999
4697,Lodge Lake,Lake,-112.4433333,54.7230556
4698,Lodgepole,Hamlet,-115.3136111,53.1005556
4699,Lofty Lake,Lake,-112.481388899999,54.7238888999999
4700,Logan Creek,Creek,-115.1955556,51.6475
4701,Logan Lake,Lake,-111.362499999999,55.0897221999999
4702,Logan Lake,Lake,-110.4066667,59.9591666999999
4703,Logan Ridge,Ridge,-114.647499999999,51.0033333
4704,Logan River,River,-111.7083333,55.1547223
